pid	text	labels
1265.jpg	ye toh apna Shayam Hai kya Mast Body Banaya hai re baba. Aurat ka chakkar babu bhaia aurat ka chakkar	ye toh apna Shayam Hai kya Mast Body Banaya hai re baba. {Aurat {ka {chakkar {babu {bhaia aurat ka chakkar
1266.png	when she's trying her hardest to make you cum but you already visited your favorite goat	when she's trying her hardest to make you cum but you already {visited your {favorite {goat
1267.jpg	Dad and son went to hotel Dad:Waitor ek beer or ek ice cream lekar aao Son:papa,icecream kyo??Aap bhi beer lo na..	Dad and son went to hotel Dad:Waitor ek beer or ek ice cream lekar aao Son:{papa,{icecream {kyo??{Aap {bhi {beer{ lo {na..
1268.png	how many more mass shootings must we orchestrate before you give up your guns?	how many more mass shootings must we {orchestrate {before you {give up your guns?
1269.jpg	Sushant singh rajput's this T-shirt had more IQ than whole of the starkids combined.	{Sushant {singh {rajput's this {T-shirt had {more {IQ {than {whole of the {starkids combined.
1272.png	not sure what's in the fridge, but this dishwasher is about to get a big load	not sure what's in the fridge, but this {dishwasher is {about to {get a {big {load
1273.jpg	Mera Beta Salman Khan bnega Kahe Mazak krro Baap Shadi krna h hmko	Mera Beta Salman Khan bnega Kahe Mazak krro Baap {Shadi {krna {h {hmko
1276.png	do you like kids? because i'm going to turn your mouth into a daycare	do you like kids? because i'm going to turn your {mouth into a {daycare
1278.png	when you take your dishwasher to the restaurant, but it starts talking	when you take your dishwasher to the restaurant,{ but it {starts {talking
1279.jpg	What will happen if the 3rd world war takes place? We will have one more chapter in our history book	What will happen if the 3rd world war takes place? We will have {one {more {chapter in our {history {book
1280.png	fucking a 5 year old fucking five 1 year olds fucking a dead 1 year old for 5 years	fucking a 5 year old fucking five 1 year olds fucking a dead 1 year old for 5 years
1282.png	mother tell your children not to mock my weight	mother tell your children not to {mock {my {weight
1283.jpg	mother father mother father mother father	{mother {father {mother {father mother father
1284.png	when you glue your ass shut so your uncle can't rape you survival	when you {glue your ass shut so your uncle {can't {rape you {survival
1285.jpg	Girls after applying coconut oil Expectation Reality	Girls after {applying {coconut {oil Expectation Reality
1286.png	they used to whip slaves back in the day	they used to {whip {slaves {back in the day
1288.png	when i was in high school i got braces a friend told me, "you're so black, even your teeth are behind bars,"	when i was in high school i got braces a friend told me, "you're so black, even your {teeth {are {behind {bars,"
1290.png	that look when you wanna cut a bitch but you remember your a changed man	that look when you wanna cut a bitch but you {remember your a {changed {man
1291.jpg	Other phones Nokia RIP	Other phones {Nokia {RIP
1296.png	muslim terrorist, spy anti semite the poster child of the left	muslim terrorist, spy anti semite the {poster {child of the {left
1297.jpg	Corona Virus after u have #Patanjaki's #Coronil- Baba Ramdev friend's on WhatsApp group right now #CORONIL party dehi	Corona Virus after u have #Patanjaki's #Coronil- {Baba {Ramdev {friend's on {WhatsApp {group {right {now #CORONIL party dehi
1299.jpg	Mashoor Mere Nepotism Ki Kahani Ho Gayi	{Mashoor {Mere {Nepotism {Ki {Kahani {Ho {Gayi
1300.png	record black employment record black welfare record black imprisonment	record black {employment {record {black welfare record {black {imprisonment
1302.png	and i even got a job in congress! these americans are so stupid!!! yep.........and then i beat the usa immigration sytem by marrying my own brother!	and i even got a job in congress! these americans are so stupid!!! yep.........and then i beat the usa {immigration {sytem by {marrying my {own {brother!
1303.jpg	Kaha Ho? Pata nhi par yanha sab ek dusare ki taraf dekh rahe hein.... Welcome to in Examination Hall	Kaha Ho? Pata nhi par yanha sab ek dusare ki taraf dekh rahe hein.... {Welcome {to {in {Examination {Hall
1304.png	i said i wanted to see his kids so he came in my eye	i said i wanted to see his kids so {he {came {in {my {eye
1305.jpg	He's probably thinking about other girls Ye Binod Kaun Hai..? WHO is BINOD?	He's probably thinking about other girls Ye {Binod {Kaun {Hai..? WHO is BINOD?
1306.png	i think i've found a vaccine for being a faggot it's called pancuronium bromide	i think i've found a vaccine for being a {faggot it's called {pancuronium {bromide
1307.jpg	When i lost my new pencil on first day of school. EVERYBODY .... SAB KE SAB CHOR HAI SAALE	When i lost my new pencil on first day of school. EVERYBODY .... {SAB {KE {SAB {CHOR {HAI {SAALE
1310.png	a typical white man	a {typical {white {man
1312.png	at least hitler could use an oven	at least hitler could {use {an {oven
1313.jpg	Gf : Aj Humne Sex Kiya Kissi Ko Btana Mat ! Bf :	Gf : {Aj {Humne {Sex {Kiya {Kissi {Ko {Btana }Mat ! Bf :
1314.png	five finger meth punch	five finger {meth{ punch
1316.png	oh you're offended i'm sure i have some thicker skin for you in the back	oh you're offended i'm sure i have some {thicker {skin for you {in the {back
1317.jpg	Ice cream kitne ki hai?. Konsi?... 10/ruply wali Maro BC ko	Ice cream kitne ki hai?. Konsi?... {10/ruply {wali {Maro {BC {ko
1318.png	i said glass of juice not gas the jews	i said glass of juice not {gas {the {jews
1320.png	if you believe that, i've got a virgin goat to sell you!	if you believe that, i've got a {virgin {goat to sell you!
1323.jpg	Ved Yajurved mukh shrimukh Agent Binod	{Ved {Yajurved {mukh {shrimukh {Agent {Binod
1326.png	when you shit an anaconda and feel the last inch disconnect from your soul	when you shit an anaconda and feel the last inch {disconnect {from {your {soul
1328.png	what's the difference between oral sex and anal sex? a: oral sex makes your day, but anal sex makes my hole weak	what's the difference between oral sex and anal sex? a: {oral {sex {makes {your {day, but {anal {sex makes my {hole {weak
1330.png	ilhan omar a powerful woman of color	ilhan omar a powerful {woman {of {color
1332.png	ilhan omar has vowed that on her first day in congress she will conduct a muesli ritual "to cleanse the chamber of the right wing evils" share to say she's the evil one	ilhan omar has vowed that on her first day in congress she will conduct a muesli ritual "{to {cleanse the {chamber of the {right {wing evils" share to say she's the evil one
1333.jpg	What do you call a Titan that can't swim Titanic	What do you call a {Titan that{ can't {swim {Titanic
1334.png	deep the stupid runs swallow your mother should have	deep the stupid runs swallow {your {mother {should {have
1336.png	"nevr forget" - you said... we didn't forget and we are fighting this together	"nevr forget" - you said... we didn't forget and we are {fighting {this {together
1338.png	a boner is like a thumbs up from your balls to whatever you're thinking about	a boner is like a thumbs up from your balls to {whatever {you're {thinking {about
1339.jpg	What if we used 100% of your brain?	What if we used {100% {of {your{ brain?
1340.png	when she says "don't cum in me" but but you know she'll make a great single mother	when she says "don't cum in me" but but you know {she'll {make a {great {single {mother
1341.jpg	Mamta Baneerjee, "Khidki darwaja khula rakhne se corona bahar chala jayega" Meanwhile Corona -	Mamta Baneerjee, "{Khidki {darwaja {khula {rakhne {se {corona {bahar {chala {jayega" Meanwhile Corona -
1342.png	a head diaper is required when you have shit for brains	a head diaper is required when you have {shit {for {brains
1343.jpg	Mitron wo rakhi k liye bolegi Tum Friendhsip band pe tikke rehna	Mitron wo rakhi k liye bolegi Tum {Friendhsip {band {pe {tikke {rehna
1344.png	even i can see you're a cunt	even i can see {you'{re a {cunt
1345.jpg	hindi Version Only	{hindi {Version {Only
1346.png	let's take out the trash impeach both	let's take out the {trash {impeach {both
1347.jpg	Prem Yadav Bsdk humlogo ko raat bhara jaga k khd morning walk kr raha hai	Prem Yadav Bsdk humlogo ko raat bhara jaga k {khd {morning {walk {kr {raha {hai
1348.png	i remember when your mom dropped you off to school she got a fine for littering	i remember when your mom dropped you off to school {she {got a {fine {for {littering
1349.jpg	Sagar  @sagarcasm   Whe you are watching Mirzapur with your friends but your name is Lalit	Sagar  @sagarcasm   Whe you are watching Mirzapur with your {friends but {your {name is {Lalit
1350.png	god wasted a good asshole when he put teeth in your mouth	god wasted a good asshole when he put {teeth {in your {mouth
1351.jpg	Aalu se sona kaise nikaloge? Matlab aisa bilkul immediate nahi soche hain but sochenge	{Aalu {se {sona {kaise {nikaloge? Matlab aisa bilkul immediate nahi soche hain but sochenge
1354.png	the flavor in this dish was nonexistent customers started a religion just to believe it was there	the flavor in this {dish was {nonexistent {customers {started a {religion just to believe it was there
1356.png	the pope says trump is not a christian because christians dont build walls vatican walls are 40 feet high	the pope says trump is not a christian because {christians {dont {build {walls {vatican walls are {40 {feet {high
1357.jpg	only legends can understand this..	only{ legends can {understand this..
1358.png	this is you liking ur own fb post	this is you {liking ur {own {fb {post
1359.jpg	this looks romantic until she ask "who is natasha?"	this looks romantic until she ask "{who{ is {natasha?"
1362.png	when she wants someone to sweep her off her feet	when she wants someone to {sweep {her {off {her {feet
1364.png	it was at this moment jacob knew he fucked up	it was at this moment jacob knew {he {fucked {up
1368.png	is someone using the oven? cuz i smell gas	is someone using the oven? cuz {i {smell {gas
1370.png	that post was so shit mel gibson is making a film about it	that post was so shit mel {gibson is {making a {film {about {it
1371.jpg	And 251 others me:she is beautiful..best friend.:what the fuck is beautiful in her!!!	And 251 others me:she is beautiful..best friend.:{what the {fuck is {beautiful {in {her!!!
1373.jpg	tu jaa ye scheme tere liye nahi hai	tu jaa ye {scheme {tere {liye {nahi {hai
1378.png	you knew that was the wrong hole you're goddamn right i did!	you knew that was the wrong hole {you're {goddamn {right {i {did!
1382.png	a head diaper is required when you have shit for brains	a head diaper is required when you have {shit{ for {brains
1384.png	dating, let alone marrying a g*rl who is not a virgin literally makes you a cuck, change my mind	dating, let alone marrying a g*rl who is not a virgin literally makes you a {cuck, {change {my {mind
1385.jpg	If josuke's mom had other partners other than Joeseph,then would he be nicknames Josuke bhosidike?Sorry,that was a BIZARRE thing to a	If josuke's mom had other partners other than Joeseph,then would he be {nicknames {Josuke {bhosidike?Sorry,that was a {BIZARRE thing to a
1386.png	nobody: arabic talk show: good morning i hate women	{nobody: arabic talk show: good morning {i {hate{ women
1392.png	women of power	{women {of {power
1395.jpg	अमिताभ ने सुबह नास्ता किया - डॉ अंसारी…laa idher likh leta hu kahi UPSC ke exam me naa aa jayeh.	à¤…à¤®à¤¿à¤¤à¤¾à¤­ à¤¨à¥‡ à¤¸à¥à¤¬à¤¹ à¤¨à¤¾à¤¸à¥à¤¤à¤¾ à¤•à¤¿à¤¯à¤¾ - à¤¡à¥‰ à¤…à¤‚à¤¸à¤¾à¤°à¥€â€¦laa idher likh leta hu kahi UPSC ke exam me naa aa jayeh.
1396.png	worst pijama party ever	{worst {pijama {party {ever
1398.png	girls reaction when teacher says "get out of class" boys reaction gorilla in a fuckin coupe reaction	girls reaction when teacher says "get out of class" boys reaction {gorilla in a {fuckin {coupe reaction
1401.jpg	How to make a girl happy with just two things Cadbury Dairy Milk Silk FRUIT &NUT NEW Whisper 100	How to make a girl happy with just two things Cadbury Dairy Milk Silk FRUIT &NUT {NEW {Whisper{ 100
1404.png	when you've already explained why your mad 3 times & he still don't get it let's just fight	when you've already explained why your mad 3 times & he still {don't {get it let's {just{ fight
1406.png	you talk like a fag and your shit's all retarded	
1407.jpg	PROBLEMS PAIN STRESS PROBLEMS PAIN STRESS  Dost Ki GF	PROBLEMS PAIN STRESS PROBLEMS PAIN STRESS  {Dost {ki {GF
1408.png	nice try women now go back to the kitchen	nice try women now go {back {to {the {kitchen
1409.jpg	Kisi Bhi Ladki Ka Wo Wala Mood Banana Chahte Ho Toh Iss Pic Pe 2-3 Baar Tap Karo Aap Uss Page Pe Pahuch Jaaoge	Kisi Bhi Ladki Ka Wo Wala Mood Banana Chahte Ho Toh {Iss {Pic {Pe {2-3 Baar {Tap {Karo {Aap {Uss {Page {Pe Pahuch Jaaoge
1411.jpg	again_a_follower Mamta Didi ko team me lelo tab hi jeet paoge shekharmandeliya Only Rcb ankitgoswami448 Hello sir Add a Comment	again_a_follower Mamta Didi ko team me lelo tab hi {jeet {paoge {shekharmandeliya {Only {Rcb {ankitgoswami448 Hello sir Add a Comment
1412.png	if you think it's okay for iran to have nukes, but not okay for law abiding americans to have guns you might be a dumbass	if you think it's okay for iran to have nukes, but not okay for {law {abiding {americans to have guns you might be a dumbass
1414.png	it can't be homicide if there is no race	it can't be {homicide {if there {is {no {race
1415.jpg	When someone says 'Meri aankhon m aaj ye aansu ki wajah tum ho" Le me: Na rahenge aankh, na rahenge aansu.	When someone says 'Meri aankhon m aaj ye aansu ki wajah tum ho" Le me: {Na {rahenge {aankh, {na {rahenge {aansu.
1418.png	i swear some people were conceived through anal sex, because there's no way being that much of an asshole is natural	i swear some people were conceived through anal sex, because there's no way being that much of an {asshole {is {natural
1419.jpg	Dusky beauty are my favourite	{Dusky {beauty are my {favourite
1422.png	"america has stolen the jews the jews of god his jewelry the negroes they are the true hebrews" google it	"america has stolen the jews the jews of god his jewelry the negroes they are the true hebrews" google it
1424.png	when your girl is bulimic, but you like gagging sounds, so you call her "fatty" while you beat your meat in the shower	when your girl is bulimic, but you like gagging sounds, so you call her "fatty" {while you {beat your {meat in the {shower
1425.jpg	Traditional Bikni	{Traditional {Bikni
1426.png	you just went full goat fucker never go full goat fucker	you just went full goat fucker never go {full {goat {fucker
1430.png	dad, dishwasher is loaded again '' ''	dad, dishwasher is{ loaded {again '' ''
1432.png	remember behind every one of us is a police	remember behind every one of us is a {police
1437.jpg	rozgar_CA @Memeswala Me watching my dad enjoy food cooked by my sister	rozgar_CA @Memeswala Me watching my dad enjoy {food {cooked by my {sister
1438.png	that's gayer than cum on a mustache	that's {gayer than cum on a {mustache
1440.png	texts polish with chemicals nobody bats an eye texts polish with chemicals everybody loses his shit	texts polish with chemicals nobody bats an eye texts polish with {chemicals {everybody {loses his shit
1441.jpg	Paakistanian @uwais_a21 Most disgusting vegetable ever idc Imaan @Imaanney If you don't like Bhindi, your mom doesn't know how to cook it.	Paakistanian @uwais_a21 Most disgusting vegetable ever idc Imaan @Imaanney If you don't like Bhindi, your {mom {doesn't {know {how{ to cook {it.
1443.jpg	You have visitors How sweet. Who came?	You have visitors How sweet. {Who {came? 
1448.png	if you're protesting against this man visiting the uk. ...but protesting for this woman to return to the uk.. ...then you're a special kind of stupid	if you're protesting against this man visiting the uk. ...but protesting for this woman to return to the uk.. ...then you're a {special{ kind of {stupid
1449.jpg	Robert Downey jr..You Known who I am …..Manjul Khattar…You known who I am….*RDJ..Behenchod…Aukaat hai teri?	Robert Downey jr..You Known who I am â€¦..Manjul Khattarâ€¦You known who I amâ€¦.*RDJ..Behenchodâ€¦{Aukaat {hai {teri?
1450.png	coming home wasted at 6am and seeing people jogging look at these assholes	coming home wasted at 6am and seeing people{ jogging {look at {these {assholes
1452.png	i may be blind but at least i'm not black	i may be blind but at least {i'm {not {black
1455.jpg	*Parents to Dentists who are staying at home during lockdown * tu doctor hai na?	*Parents to Dentists who are staying at home during lockdown * {tu {doctor {hai {na?
1456.png	have you ever noticed the only time republicans smile is when they are taking away things from the american people?	have you ever noticed the only time {republicans {smile is {when {they are {taking {away{ things from the american people?
1458.png	when the dishwasher isn't working properly and you have no tecnical knowledge whatsoever so you just decide to talk to it and hope it starts working good luck	when the dishwasher isn't working properly and you have no {tecnical {knowledge {whatsoever so you just decide to talk to it and hope it starts working good luck
1462.png	the dna test results say... you're a cunt	the dna test results say... {you're a {cunt
1464.png	not sure if you're being funny or stupid	not sure if you're {being {funny or {stupid
1465.jpg	Vishnu @Haramibaba2 When you find out how she is getting promotion so Fast	Vishnu @Haramibaba2 When you find out how she is {getting {promotion so {Fast 
1466.png	sends 6 million to heaven knows jews are god's chosen people	sends 6 million to heaven knows jews are {god's {chosen {people
1470.png	and to think, i almost swallowed you	and to think, i {almost {swallowed {you
1471.jpg	Single Hu @singlehaqse Me Playing With Royal Pass Players #pubg	Single Hu @singlehaqse Me Playing With {Royal {Pass {Players #pubg
1472.png	when some body adds another plate to the sink while i'm washing the dishes	when some body adds another plate to the sink while {i'm {washing the {dishes
1473.jpg	News18.com 4 hours ago Karnataka Residents Burst Firecrackers to Celebrate the Reopening of Liquor Shops MXPlayer *bevda Gaand fate toh fate par Nawabi na ghate	News18.com 4 hours ago Karnataka Residents {Burst {Firecrackers to {Celebrate the {Reopening of {Liquor Shops MXPlayer *bevda Gaand fate toh fate par Nawabi na ghate
1478.png	musslamic democrat, ilhan omar, has threatened members of congress. she's told several republicans that she'll send them "shawarma", to "give them a taste of her culture"	musslamic democrat, ilhan omar, has threatened members of congress. she's told several republicans that she'll send them "shawarma", to {"give {them {a {taste {of {her culture"
1479.jpg	When Feminist get To Know 'Practise Makes A Man Perfect' Not Woman	When Feminist get To Know '{Practise Makes A {Man {Perfect' {Not {Woman
1480.png	when everyone who has been calling you racist for the past 2 years are pedophiles	when everyone who has been calling you {racist {for the {past {2 years are {pedophiles
1482.png	i don't always fuck midgets but when i do, i go balls deep	i don't always fuck midgets but when i do, {i go {balls {deep
1487.jpg	She has more fans in India then in Sri Lanka	She has more {fans in {India {then in {Sri {Lanka
1489.jpg	Oh love!!! Where did you learn to use those fingers?	Oh love!!! Where did you learn to {use {those {fingers?
1490.png	when you get caught jacking off to the snapchat girl filter of yourself that wasn't me that was patricia	when you get caught jacking off to the snapchat girl filter of yourself that {wasn't {me {that was {patricia
1492.png	chief crooked bone spurs aka donald trump proving you don't have to be poor to be white trash	chief crooked bone spurs aka donald t{rump {proving you don't have to be {poor to be {white {trash
1493.jpg	Facebook celebrating my Friendversary Me who didn't talk to him since years	Facebook celebrating my {Friendversary {Me {who {didn't {talk to him {since {years
1494.png	why yes i'm part indian i'm from the smackahoe tribe	why yes i'm part indian i'm from the {smackahoe {tribe
1495.jpg	THAT FIGURE AND CURVES	{THAT {FIGURE {AND {CURVES
1496.png	i might not be good at sucking cock but i can put beavers outta work	i might not be good at sucking cock but i {can put {beavers {outta {work
1498.png	they probably arguing over some little shit	they probably arguing over {some {little{ shit
1499.jpg	DESI ADUKT TROLLS This is the reason why we guys Loves to attend marriage functions	DESI ADUKT TROLLS This is the reason why we guys Loves to {attend {marriage {functions
1500.png	this beef is so raw its eating the salad	this beef is so raw its {eating {the {salad
1504.png	be right back left the gas on	be right back {left {the {gas {on
1507.jpg	Anushka in saree and backless blouse deadly combination DESI ADULT TROLLS	Anushka in {saree and {backless {blouse {deadly {combination DESI ADULT TROLLS
1508.png	i'm not saying your mom's a slut but during childbirth she slid you in and out a couple of times	i'm not saying your mom's a slut but during childbirth she {slid {you in and out a {couple{ of{ times
1510.png	when you borrow money from grandma and can't pay her back	when you borrow {money{ from {grandma and {can't {pay {her {back
1511.jpg	WHEN YOU ARE STARING AT YOUR CRUSH IN FRONT OF HER MOM	WHEN YOU ARE {STARING AT YOUR {CRUSH IN {FRONT OF {HER {MOM
1512.png	i got fired from a restaurant for sticking my fingers in the dishwasher i'm wondering why they didn't fire her too	i got fired from a restaurant for {sticking {my {fingers in the {dishwasher i'm wondering why they {didn't {fire {her {too
1514.png	sometimes in life, we hang on tight to the wrong things	sometimes in life, we {hang {on {tight to the {wrong {things
1520.png	i can't kill the terrorists. they're all my relatives!!!	i can't kill the {terrorists. they're all my {relatives!!!
1522.png	when your step sister says she wants to have a forehead competition	when your {step {sister says she wants to have a {forehead {competition
1524.png	the wife said we needed a new coffee maker so i got one. her name is jill. the wife was not amused..	the wife said we needed a new {coffee {maker so i got one. her name is jill. the {wife {was {not {amused..
1525.jpg	A picture of me laughing at my own answers in exam hall.	A picture of {me {laughing {at {my {own {answers in {exam {hall.
1526.png	i married my brother to commit immigration fraud this makes her an illegal alien, ineligible for congress and deportable! ice, where are you?	i {married {my {brother to commit immigration fraud this {makes {her {an {illegal {alien, ineligible for congress and deportable! ice, where are you?
1528.png	ask that dumb ass question again and i'll head out	ask that {dumb {ass {question {again and {i'll {head {out
1530.png	me, the first time my sweet, beautiful baby boy ever brings a girl home to meet me. why don't you go back to your home on whore island?	me, the first time my sweet, beautiful baby boy ever brings a {girl {home to meet me. why don't you {go {back {to {your {home {on {whore {island?
1532.png	can you name 3 words better than "i love you?" death to america, of course,	can you name 3 words {better {than {"i {love {you?" {death {to {america, of course,
1534.png	when the safe word is "flower" but she kept saying "flour"	when the safe word is "{flower" but {she {kept {saying "{flour"
1536.png	honestly i'm probably single because.. i never forwarded those chain messages in 2008	honestly i'm probably {single {because.. i {never {forwarded {those {chain {messages in 2008
1538.png	look! i can nearly fit as many balls in my mouth as your girlfriend!!	look! i can nearly {fit {as {many {balls {in {my {mouth {as {your {girlfriend!!
1540.png	why not share! so i thought fuck it, anjem choudary wants this textd because he says it insults islam	why not share! so i thought fuck it, anjem choudary {wants {this {textd {because he says {it {insults {islam
1541.jpg	you are under arrest!You are under arrest!Koi sense hai iss baat ka?	you are under arrest!You are under arrest!{Koi {sense {hai {iss {baat {ka?
1542.png	7 in 10 people in prison are registered democrats when you can't beat trump with law abiding citizens you enlist felons..	7 in 10 people in prison are registered democrats {when {you {can't {beat {trump with law abiding citizens {you {enlist {felons..
1543.jpg	*Aliens invade Earth*Thor:*Obliterates them with lightning*Iron man:*Disintegrates them with lasers*Hulk:*Smashes them with super strength*Strange:*Sends them to a new dimension*Black panther:*Shreds them with metal melting claws*Ant-Man:*Stomps them in his colossal size*Captain America:	*Aliens invade Earth*Thor:*Obliterates them with lightning*Iron man:*Disintegrates them with lasers*Hulk:*Smashes them with super strength*Strange:*Sends them to a new dimension*Black panther:*Shreds them with metal melting claws*Ant-Man:*Stomps them in his colossal size*Captain America:
1544.png	oh i pissed you off? suck it up buttercup i'm an asshole, it's what i do	oh {i {pissed {you {off? suck it up buttercup {i'm {an {asshole, {it's {what {i {do
1545.jpg	Akshay kumar has faced every WWE wrestler Undertaker Big daddy V Batista The great khali	{Akshay {kumar {has {faced every WWE wrestler {Undertaker {Big {daddy {V {Batista {The {great {khali
1547.jpg	University ki memes Assignments submitted by me and my Friends!!!	University ki memes {Assignments {submitted {by {me {and {my {Friends!!!
1552.png	"liberal whites are the greatest enemy of african americans." -james meredith james merideth is a republican, an author, and most notably the first black student admitted to the university of missippi	"{liberal {whites are the {greatest {enemy {of {african {americans." -james meredith james merideth is a republican, an author, and most notably the first black student admitted to the university of missippi
1553.jpg	plastic chairs when you buy them After they're kept in sun for a few months	{plastic {chairs {when {you {buy {them {After they're {kept {in {sun {for {a {few {months
1554.png	jewber: uber for jews	{jewber: {uber {for {jews
1555.jpg	literally nobody:Bhai's fan on internet:The car was hacked	literally nobody:{Bhai's {fan {on internet:{The {car {was {hacked
1556.png	only man to award a terrorist 10.5 million dollars for killing an american oldier....fucking scum bag!	{only {man {to {award a {terrorist 10.5 million dollars {for {killing {an {american {oldier....fucking scum bag!
1560.png	i married my brother to commit immigration fraud this makes her an illegal alien, ineligible for congress and deportable! ice, where are you? "	{i {married {my {brother {to {commit {immigration {fraud this {makes {her {an {illegal {alien, ineligible for congress and deportable! ice, where are you? "
1561.jpg	#INDvsENG the angrez in the first test The angrez in last three tests	#INDvsENG the {angrez {in {the {first {test The {angrez {in {last {three {tests
1562.png	my first high school football game was a lot like my first time having sex... i was bloody and sore at the end but at least my dad came	my first high school football game was a lot like my first time having sex... {i {was {bloody {and {sore {at {the {end {but {at {least {my {dad {came
1566.png	my gynocologist says i can't have sex for 2 weeks what did your dentist say ?	{my {gynocologist {says i {can't {have {sex {for {2 {weeks {what {did {your {dentist {say ?
1570.png	aaaaaaaaaaaaaah my dick is stuck in the drawer	aaaaaaaaaaaaaah {my {dick {is {stuck {in {the {drawer
1574.png	illegal aliens are more american than american citizens. aoc 01/08/19	{illegal {aliens {are {more {american {than {american {citizens. aoc 01/08/19
1576.png	if you outlaw abortions abortions will just happen illegally but if you outlaw guns we will all be safe from gun crime	if you {outlaw {abortions {abortions {will just {happen {illegally but if you {outlaw {guns we will all be {safe {from {gun {crime
1578.png	when you start to choke but your uncle knows the heimlich maneuver	when {you {start {to {choke {but {your {uncle {knows the {heimlich {maneuver
1580.png	how do you like them well done please!	how {do {you {like {them {well {done {please!
1582.png	it's not because you're muslim anti-semitic anti-america	it's {not {because {you're {muslim anti-semitic anti-america
1584.png	if you make a left you'll see where you had me fucked up at	if you {make {a {left you'll {see {where {you {had {me {fucked {up {at
1588.png	you care more about your truck than you care about me well, my truck blows gaskets, not other dudes so.	you {care {more {about your {truck {than you care about {me well, {my {truck {blows {gaskets, {not {other {dudes so.
1590.png	sorry if i offended you but maybe you needed to be offended here's my apology and one more thing... fuck you!!	{sorry {if {i {offended {you {but maybe {you {needed {to {be offended here's my apology and one more thing... fuck you!!
1593.jpg	Japanese researchers have been able to create artificial meat from human poop.VEGAN NON-VEGANS	Japanese researchers have been able to {create {artificial {meat {from {human {poop.{VEGAN {NON-VEGANS
1594.png	when a black on lmm wants to fight, but you just tell a cop and the cop opens fire without hesitation modern problems require modern solutions	when a {black {on {lmm {wants to {fight, but{ you just {tell {a {cop and the {cop {opens {fire {without {hesitation modern problems require modern solutions
1601.jpg	Toll plaza Toll plaza ultra pro max	Toll plaza {Toll {plaza {ultra {pro {max
1602.png	game of throne team are thinking about building a documentary about hitler	game of throne team are {thinking {about {building {a {documentary {about {hitler
1604.png	yes, ilhan omar is anti-semitic and anti-american but she is on our side	yes, ilhan omar is anti-semitic and anti-american but {she {is {on our {side
1606.png	beer goggles helping fat chicks get laid for thousands of years	beer goggles {helping {fat {chicks {get {laid for {thousands {of {years
1607.jpg	हमारे आतंरिक मामलो में दखल क्यों ..किशानो पर राजनीती क्यो ?...कांग्रेस के किशन नेता रिहाना …. BREAKING NEWS...प्रदर्शन लोकतंत्र का हिस्सा-MEA	à¤¹à¤®à¤¾à¤°à¥‡ à¤†à¤¤à¤‚à¤°à¤¿à¤• à¤®à¤¾à¤®à¤²à¥‹ à¤®à¥‡à¤‚ à¤¦à¤–à¤² à¤•à¥à¤¯à¥‹à¤‚ ..à¤•à¤¿à¤¶à¤¾à¤¨à¥‹ à¤ªà¤° à¤°à¤¾à¤œà¤¨à¥€à¤¤à¥€ à¤•à¥à¤¯à¥‹ ?...à¤•à¤¾à¤‚à¤—à¥à¤°à¥‡à¤¸ à¤•à¥‡ à¤•à¤¿à¤¶à¤¨ à¤¨à¥‡à¤¤à¤¾ à¤°à¤¿à¤¹à¤¾à¤¨à¤¾ â€¦. BREAKING NEWS...à¤ªà¥à¤°à¤¦à¤°à¥à¤¶à¤¨ à¤²à¥‹à¤•à¤¤à¤‚à¤¤à¥à¤° à¤•à¤¾ à¤¹à¤¿à¤¸à¥à¤¸à¤¾-MEA
1608.png	when she cooks, cleans & sucks a mean dick but you gotta work	when {she {cooks, {cleans & {sucks {a {mean {dick {but {you {gotta {work
1610.png	what's the difference between menstrual blood and sand? you can't gargle sand	what's the difference between menstrual blood and sand? {you {can't {gargle {sand
1611.jpg	where is the logic?"all the government offices in madhya pradesh have to replace chemically made phenyl with phenyl made of cow urine to use it as a cleaner."-madhya pradesh government	where is the logic?"all the government offices in madhya pradesh have to {replace chemically made {phenyl {with {phenyl {made {of {cow {urine to use it as a cleaner."-madhya pradesh government
1612.png	let me remind you i brutally beat my girlfriends there is plenty of evidence including a police report. i'm still #2 at the dnc and my party is silent about the matter	let me remind you {i {brutally {beat {my {girlfriends there is plenty of evidence including a police report. i'm still #2 at the dnc and my party is silent about the matter
1614.png	exclusive footage of barack and michelle's 1st kiss	exclusive {footage of {barack and {michelle's 1st {kiss
1616.png	donald, you are not welcome on my show sir, i do not want to be on your show	{donald, {you {are {not {welcome {on {my {show sir, {i {do {not {want {to {be {on {your {show
1618.png	if you're gonna go boating make sure you have the proper flotation devices	if you're {gonna {go {boating {make {sure {you {have {the {proper {flotation {devices
1621.jpg	How middle class are you?Me-Meri facewash khatam hone k bad	How middle class are you?Me-{Meri {facewash {khatam {hone {k {bad
1624.png	omg he's mad	{omg {he's {mad
1630.png	when you find a girl that accepts your holocaust fetish	when you find a {girl {that {accepts {your {holocaust {fetish
1632.png	what a true rapist looks like	what a {true {rapist {looks {like
1634.png	yes i ordered my justice department not to prosecute hillary clinton donald trump and to frame so what are you going to do about it	{yes {i {ordered my justice department not {to {prosecute {hillary {clinton donald trump and to frame so what are you going to do about it
1636.png	time for liberals.. ...to start crying again	time for {liberals.. …{to {start {crying {again
1638.png	when you told her you was going to fuck her till she was stupid	when you told her you was going to {fuck {her {till {she {was {stupid
